"Location","Vel_dir","Height","H_m","Width","Source","direction.deg","payload","Distance_m","Nom_WS"
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw +3m 3m-s",19.1333303263255,2,3,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw +3m 4.5m-s",22.3629894723309,2,3,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw +3m 4.5m-s",6.99816330423572,2,3,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw +3m 4.5m-s",325.91534657813,2,3,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw +3m 4.5m-s",349.450289392001,2,3,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw +3m 4.5m-s",5.54993977037693,2,3,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw +3m 4.5m-s",12.721689188379,2,3,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw +3m 4.5m-s",333.856531697007,2,3,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw +3m 4.5m-s",359.608396083615,2,3,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw +3m 4.5m-s",23.0665991034462,2,3,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw +2m 1.5m-s",20.6157789322146,2,2,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw +2m 1.5m-s",357.121702614274,2,2,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw +2m 1.5m-s",346.259404663599,2,2,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw +2m 1.5m-s",355.899348307181,2,2,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw +2m 1.5m-s",10.8026669378244,2,2,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw +2m 1.5m-s",347.69210986171,2,2,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw +2m 1.5m-s",328.836956567391,2,2,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw +2m 1.5m-s",14.8937350821166,2,2,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw +2m 1.5m-s",58.3286332119997,2,2,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw +2m 3m-s",29.5149503419736,2,2,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw +2m 3m-s",9.45190683180398,2,2,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw +2m 3m-s",333.481111033928,2,2,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw +2m 3m-s",333.440082774585,2,2,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw +2m 3m-s",12.2761427055868,2,2,3
